model_id	total_time	NLLH	AIC	AICc	BIC	n_converged	start_time_0	start_time_1	start_time_2	start_time_3	start_time_4	start_time_5	start_time_6	start_time_7	start_time_8	start_time_9
model_id	total_time	NLLH	AIC	AICc	BIC	n_converged	start_time_0	start_time_1	start_time_2	start_time_3	start_time_4	start_time_5	start_time_6	start_time_7	start_time_8	start_time_9
model_id	total_time	NLLH	AIC	AICc	BIC	n_converged	start_time_0	start_time_1	start_time_2	start_time_3	start_time_4	start_time_5	start_time_6	start_time_7	start_time_8	start_time_9
M_00000000000000000000000000000000	0.08365774154663086	229.6573345774201	461.3146691548402	461.3306691548402	464.8440982423516	5	0.013444185256958008	0.022667646408081055	0.017234325408935547	0.013248205184936523	0.017063379287719727
M_10000000000000000000000000000000	0.5905086994171143	219.85113358042196	443.7022671608439	443.7504599319283	450.7611253358668	4	0.05379772186279297	0.029353618621826172	0.06608748435974121	0.21638774871826172	0.2248821258544922
M_01000000000000000000000000000000	0.2600061893463135	191.02079945973813	386.04159891947626	386.0897916905606	393.1004570944991	5	0.06558871269226074	0.05890083312988281	0.05892586708068848	0.04731416702270508	0.029276609420776367
M_00000100000000000000000000000000	0.1895918846130371	166.740513011595	337.48102602319	337.52921879427436	344.53988419821286	5	0.05031895637512207	0.036008596420288086	0.03370022773742676	0.03123021125793457	0.038333892822265625
M_00001000000000000000000000000000	0.21956777572631836	215.3208805872926	434.6417611745852	434.6899539456696	441.7006193496081	5	0.07025647163391113	0.02825021743774414	0.04167008399963379	0.047820329666137695	0.0315706729888916
M_00100000000000000000000000000000	0.22078204154968262	227.87421703411843	459.74843406823686	459.7966268393212	466.8072922432597	5	0.03957653045654297	0.0354619026184082	0.02907586097717285	0.048423051834106445	0.06824469566345215
M_00010000000000000000000000000000	0.2008190155029297	197.518532301276	399.037064602552	399.08525737363635	406.09592277757486	5	0.05411100387573242	0.02826404571533203	0.0369420051574707	0.03916573524475098	0.042336225509643555
M_00000000000000000000000000000000	0.14612030982971191	229.6573345774171	461.3146691548342	461.3306691548342	464.8440982423456	10	0.01639556884765625	0.014539957046508789	0.010134220123291016	0.015908479690551758	0.016244173049926758	0.012573957443237305	0.014290571212768555	0.014898538589477539	0.01871943473815918	0.012415409088134766
M_10000000000000000000000000000000	0.5740008354187012	219.85113358042054	443.7022671608411	443.75045993192543	450.76112533586394	8	0.03283524513244629	0.042881011962890625	0.0259857177734375	0.050492048263549805	0.09557747840881348	0.038939476013183594	0.06380939483642578	0.03600788116455078	0.10392570495605469	0.08354687690734863
M_01000000000000000000000000000000	0.3956871032714844	191.02079945914903	386.04159891829806	386.0897916893824	393.1004570933209	10	0.04865312576293945	0.022550106048583984	0.02658557891845703	0.03554511070251465	0.026100873947143555	0.05364990234375	0.052525997161865234	0.04372262954711914	0.03990578651428223	0.0464479923248291
M_00000100000000000000000000000000	0.4293782711029053	166.7405130115757	337.4810260231514	337.52921879423576	344.53988419817426	10	0.03990006446838379	0.04410600662231445	0.028722286224365234	0.03229069709777832	0.0489194393157959	0.03702378273010254	0.07203340530395508	0.05599617958068848	0.02954411506652832	0.040842294692993164
M_00001000000000000000000000000000	0.4368290901184082	215.32088060225345	434.6417612045069	434.68995397559127	441.70061937952977	10	0.08774065971374512	0.04962277412414551	0.03764677047729492	0.03688693046569824	0.03720593452453613	0.03685188293457031	0.05099749565124512	0.029581069946289062	0.03490424156188965	0.03539133071899414
M_00100000000000000000000000000000	0.3321571350097656	227.87421703369677	459.74843406739353	459.7966268384779	466.8072922424164	10	0.04381155967712402	0.0432744026184082	0.03450655937194824	0.019988059997558594	0.0333559513092041	0.03088545799255371	0.020534753799438477	0.046762943267822266	0.02608656883239746	0.03295087814331055
M_00010000000000000000000000000000	0.5906288623809814	197.51853230126227	399.03706460252454	399.0852573736089	406.0959227775474	10	0.04464530944824219	0.029909610748291016	0.046689748764038086	0.03832101821899414	0.09916830062866211	0.051447391510009766	0.08561468124389648	0.0661628246307373	0.06020236015319824	0.06846761703491211
M_10000100000000000000000000000000	1.6267530918121338	165.82091129538122	337.64182259076244	337.73859678431086	348.2301098532967	8	0.16341137886047363	0.05826520919799805	0.0958552360534668	0.5657670497894287	0.21004605293273926	0.052458763122558594	0.1337754726409912	0.10640335083007812	0.13814258575439453	0.10262799263000488
M_01000100000000000000000000000000	0.6798455715179443	138.15669312824122	282.31338625648243	282.41016045003084	292.9016735190167	10	0.0709986686706543	0.0766456127166748	0.045091867446899414	0.0809011459350586	0.07049202919006348	0.05875134468078613	0.06041669845581055	0.10470080375671387	0.054476022720336914	0.05737137794494629
M_00001100000000000000000000000000	0.6635832786560059	162.44332631918147	330.88665263836293	330.98342683191134	341.4749399008972	10	0.07195162773132324	0.06156110763549805	0.05451488494873047	0.08169436454772949	0.07163476943969727	0.08037948608398438	0.0807046890258789	0.060010433197021484	0.04982137680053711	0.05131053924560547
M_00100100000000000000000000000000	1.1660058498382568	159.79412695332192	325.58825390664384	325.68502810019226	336.1765411691781	10	0.17268586158752441	0.09775233268737793	0.14054274559020996	0.03752923011779785	0.22250914573669434	0.08286190032958984	0.2629578113555908	0.04810738563537598	0.04968118667602539	0.05137825012207031
