model_id	total_time	NLLH	AIC	AICc	BIC	n_converged	start_time_0	start_time_1	start_time_2	start_time_3	start_time_4	start_time_5	start_time_6	start_time_7	start_time_8	start_time_9
M_11111111111111111111111111111111	8.224860429763794	15.764436514561815	97.52887302912363	107.82245101077501	214.00003291700062	10	0.9105484485626221	1.8279361724853516	0.5694196224212646	0.698249101638794	0.8289532661437988	0.6415567398071289	0.6283929347991943	0.538163423538208	0.5532608032226562	1.0283799171447754
M_11111111111111111111101111111111	39.10388112068176	15.764443888791565	95.52888777758312	105.17272339402147	208.47061857794867	9	0.6990025043487549	0.6664481163024902	4.400183916091919	1.4956176280975342	2.743499517440796	6.102360486984253	0.5817639827728271	0.623204231262207	10.000671625137329	11.791129112243652
M_11111111111101111111111111111111	47.92119598388672	15.764679615544576	95.52935923108916	105.17319484752751	208.4710900314547	6	2.512056827545166	3.2466979026794434	9.80135202407837	1.3030219078063965	1.538459062576294	9.61216688156128	10.020492315292358	9.340048551559448	0.30142736434936523	0.24547314643859863
M_11110111111111111111111111111111	28.118422031402588	15.764486474706263	95.52897294941252	105.17280856585087	208.47070374977807	6	0.65557861328125	4.852224111557007	4.167734384536743	0.5343163013458252	3.4197003841400146	2.3414926528930664	9.529526948928833	2.026697874069214	0.2734856605529785	0.31766510009765625
M_11011111111111111111111111111111	56.20741939544678	15.764807558364382	95.52961511672876	105.17345073316712	208.4713459170943	4	4.418513059616089	3.0488061904907227	10.603373050689697	5.0094733238220215	10.22095513343811	1.824190378189087	5.870566129684448	14.598539113998413	0.27895355224609375	0.3340494632720947
M_11111110111111111111111111111111	36.350494146347046	15.764436619188759	95.52887323837751	105.17270885481587	208.47060403874306	7	2.503765106201172	2.3207526206970215	6.911203622817993	1.6172325611114502	8.167077541351318	2.211582899093628	10.36583662033081	1.3875806331634521	0.5666005611419678	0.2988619804382324
M_11111111111111111111111111110111	47.02998089790344	15.764879569266366	95.52975913853274	105.17359475497109	208.4714899388983	6	1.846707820892334	4.234175443649292	4.206734895706177	10.68031358718872	12.04761290550232	10.721514463424683	2.3492672443389893	0.40343213081359863	0.24910426139831543	0.29111814498901367
M_11111111111111111101111111111111	71.99062013626099	15.764823759218501	95.529647518437	105.17348313487535	208.47137831880255	7	6.1350507736206055	3.8254361152648926	5.578784227371216	12.480443239212036	2.7225887775421143	5.100827217102051	11.639731168746948	13.44881558418274	10.708098888397217	0.350844144821167
M_11111111111111111111111110111111	21.599456787109375	15.764440396257893	95.52888079251579	105.17271640895414	208.47061159288134	7	0.6247594356536865	2.201774835586548	3.0221779346466064	0.5963358879089355	4.052793979644775	2.93880295753479	4.169890880584717	1.7025742530822754	1.9565815925598145	0.33376502990722656
M_11111111111111111110111111111111	54.096036434173584	15.764469259424438	95.52893851884888	105.17277413528723	208.47066931921444	7	5.179311037063599	4.1214001178741455	5.475157737731934	6.150094270706177	3.737628698348999	6.522714376449585	9.347378015518188	7.7228429317474365	5.536688566207886	0.30282068252563477
M_11111111111110111111111111111111	45.17828726768494	15.764445293154019	95.52889058630804	105.17272620274639	208.4706213866736	7	2.4296181201934814	0.7041544914245605	2.6924831867218018	0.9119653701782227	3.973376512527466	9.100662231445312	9.497318267822266	9.473689317703247	5.993956804275513	0.4010629653930664
M_11111111111111111111111111011111	16.531888008117676	15.764480969912967	95.52896193982593	105.17279755626429	208.47069274019148	8	0.5424041748046875	3.9295406341552734	2.492405414581299	0.7448513507843018	0.5759263038635254	2.9108071327209473	1.80094575881958	1.6049275398254395	1.6361546516418457	0.29392504692077637
M_11111111111111111111111011111111	46.605567932128906	15.764461171474624	95.52892234294924	105.1727579593876	208.4706531433148	10	2.869589328765869	3.860173225402832	1.5353548526763916	3.880577564239502	6.11528754234314	6.600432395935059	1.7770512104034424	5.944087505340576	9.234838485717773	4.788175821304321
M_11111101111111111111111111111111	67.91381740570068	15.7649758590288	95.5299517180576	105.17378733449596	208.47168251842314	6	3.1777572631835938	1.2668232917785645	9.038538455963135	4.089007139205933	9.683436155319214	9.47875452041626	10.368089437484741	9.46748971939087	1.6324472427368164	9.711474180221558
M_11111111011111111111111111111111	29.794692754745483	15.76473352121551	95.52946704243102	105.17330265886937	208.47119784279656	10	0.5826942920684814	2.127591133117676	2.5669796466827393	2.5127499103546143	3.2965080738067627	1.5346434116363525	1.1553304195404053	2.754251003265381	8.868190288543701	4.39575457572937
M_11111111111111101111111111111111	40.21554398536682	15.764443230210292	95.52888646042058	105.17272207685893	208.47061726078613	8	8.918036222457886	1.855882167816162	4.570455312728882	1.9550824165344238	1.2379159927368164	0.5300631523132324	2.7330832481384277	9.101504564285278	8.887453556060791	0.4260673522949219
