model_id	total_time	NLLH	AIC	AICc	BIC	n_converged	start_time_0	start_time_1	start_time_2	start_time_3	start_time_4	start_time_5	start_time_6	start_time_7	start_time_8	start_time_9	start_time_10	start_time_11	start_time_12	start_time_13	start_time_14	start_time_15	start_time_16	start_time_17	start_time_18	start_time_19
M_00000000000000000000000000000000	0.28648996353149414	229.65733457741757	461.31466915483514	461.33066915483516	464.84409824234655	20	0.016465187072753906	0.013385534286499023	0.01322317123413086	0.013836145401000977	0.0181424617767334	0.018239736557006836	0.013824701309204102	0.015642881393432617	0.013441085815429688	0.011838436126708984	0.013439655303955078	0.014857292175292969	0.01191091537475586	0.012320280075073242	0.013334989547729492	0.013678312301635742	0.015040874481201172	0.018262863159179688	0.013549566268920898	0.01205587387084961
M_00000001000000000000000000000000	0.9849076271057129	220.51962934793457	445.03925869586914	445.0874514669535	452.098116870892	20	0.08464932441711426	0.037282466888427734	0.04656243324279785	0.08818769454956055	0.07529163360595703	0.04410362243652344	0.05182957649230957	0.04627227783203125	0.0415196418762207	0.03931903839111328	0.05023550987243652	0.045725345611572266	0.048352956771850586	0.038721561431884766	0.03704237937927246	0.040415287017822266	0.04587674140930176	0.04510498046875	0.04757976531982422	0.030835390090942383
M_00000000000000000000000000000100	0.7078859806060791	149.5901823446399	303.1803646892798	303.2285574603642	310.2392228643027	20	0.027970314025878906	0.0419611930847168	0.03187370300292969	0.022806167602539062	0.047148704528808594	0.03294658660888672	0.0379643440246582	0.04538583755493164	0.030022144317626953	0.03344368934631348	0.03406238555908203	0.03740572929382324	0.040009260177612305	0.028085708618164062	0.03196310997009277	0.035810232162475586	0.04101967811584473	0.027647018432617188	0.04359555244445801	0.03676462173461914
M_00000000000010000000000000000000	0.8812203407287598	220.11858639696766	444.2371727939353	444.2853655650197	451.2960309689582	20	0.0668172836303711	0.05084800720214844	0.06325340270996094	0.03915119171142578	0.0423579216003418	0.04137611389160156	0.026009559631347656	0.03896331787109375	0.02994823455810547	0.04062819480895996	0.05453205108642578	0.060553550720214844	0.042357683181762695	0.04950857162475586	0.028037548065185547	0.048799991607666016	0.03626203536987305	0.04358243942260742	0.027347326278686523	0.050885915756225586
M_00000000000000000000001000000000	0.6332166194915771	186.5841759112742	377.1683518225484	377.21654459363276	384.22720999757126	20	0.03295135498046875	0.02687692642211914	0.023210525512695312	0.04482007026672363	0.051286935806274414	0.029449939727783203	0.04290151596069336	0.027989625930786133	0.02631092071533203	0.032811880111694336	0.03261160850524902	0.02477860450744629	0.028334856033325195	0.037047624588012695	0.031005382537841797	0.029522180557250977	0.031427860260009766	0.02274608612060547	0.03143620491027832	0.025696516036987305
M_00000000000000000000000010000000	0.7970890998840332	226.39467567506216	456.7893513501243	456.8375441212087	463.8482095251472	20	0.039151906967163086	0.03311276435852051	0.02426314353942871	0.04163956642150879	0.026436567306518555	0.06310915946960449	0.04795336723327637	0.03592729568481445	0.04147481918334961	0.03567695617675781	0.04262733459472656	0.03841114044189453	0.032584190368652344	0.04322552680969238	0.0479123592376709	0.04945731163024902	0.04568886756896973	0.03812360763549805	0.023670673370361328	0.04664254188537598
M_00100000000000000000000000000000	0.772667646408081	227.87421703370364	459.7484340674073	459.79662683849165	466.80729224243015	20	0.03593635559082031	0.0313260555267334	0.028599262237548828	0.018210649490356445	0.04241061210632324	0.0488889217376709	0.04845309257507324	0.05228447914123535	0.03387093544006348	0.02791118621826172	0.04788064956665039	0.05865931510925293	0.03849625587463379	0.03515219688415527	0.04335832595825195	0.03732037544250488	0.03374028205871582	0.033918142318725586	0.04386258125305176	0.03238797187805176
M_00000000000001000000000000000000	0.9200115203857422	226.09053215710884	456.1810643142177	456.22925708530204	463.23992248924054	20	0.023460865020751953	0.0525355339050293	0.05263662338256836	0.05420851707458496	0.059656381607055664	0.03275752067565918	0.029347896575927734	0.060689687728881836	0.04985976219177246	0.03658437728881836	0.03018808364868164	0.05996251106262207	0.026000022888183594	0.04931330680847168	0.04450106620788574	0.1408555507659912	0.02620673179626465	0.04748225212097168	0.025394201278686523	0.018370628356933594
M_00000000000000000001000000000000	1.3340649604797363	229.60524687726542	463.21049375453083	463.2586865256152	470.2693519295537	20	0.03359866142272949	0.08221316337585449	0.04593920707702637	0.0565645694732666	0.04094433784484863	0.05532431602478027	0.02854132652282715	0.032349348068237305	0.48081064224243164	0.03183126449584961	0.12985873222351074	0.03756546974182129	0.025880813598632812	0.04983973503112793	0.02872633934020996	0.034646034240722656	0.04857039451599121	0.042787790298461914	0.023146867752075195	0.024925947189331055
M_00000000000000001000000000000000	0.9859318733215332	159.95272551287508	323.90545102575015	323.9536437968345	330.964309200773	20	0.04224038124084473	0.14336681365966797	0.04159736633300781	0.07581043243408203	0.037967681884765625	0.029639482498168945	0.02671360969543457	0.05667424201965332	0.05021476745605469	0.051835060119628906	0.02469491958618164	0.04273247718811035	0.0802760124206543	0.05074000358581543	0.03436756134033203	0.024883270263671875	0.04516410827636719	0.03471684455871582	0.04134011268615723	0.05095672607421875
